Sl_No,Datetime,Hourly_Temp
813,9:00:00 PM,18.5
814,10:00:00 PM,12.7
815,11:00:00 PM,14.867
816,12:00:00 AM,19.9
817,1:00:00 AM,14
818,2:00:00 AM,14.767
819,3:00:00 AM,15.833
820,4:00:00 AM,17.8
821,5:00:00 AM,10.9
822,6:00:00 AM,7.95
823,7:00:00 AM,7.167
824,8:00:00 AM,7.2
825,9:00:00 AM,8.067
826,10:00:00 AM,8.5
827,11:00:00 AM,8.867
828,12:00:00 PM,8.967
829,1:00:00 PM,17.367
830,2:00:00 PM,26.25
831,3:00:00 PM,25.967
832,4:00:00 PM,25.033
833,5:00:00 PM,24.4
834,6:00:00 PM,23.467
835,7:00:00 PM,22.7
836,8:00:00 PM,22.25
837,9:00:00 PM,22
838,10:00:00 PM,21.6
839,11:00:00 PM,21
840,12:00:00 AM,20.433
841,1:00:00 AM,19.9
842,2:00:00 AM,19.3
843,3:00:00 AM,18.767
844,4:00:00 AM,18.3
845,5:00:00 AM,18.2
846,6:00:00 AM,18.633
847,7:00:00 AM,19.567
848,8:00:00 AM,20.733
849,9:00:00 AM,22.3
850,10:00:00 AM,23.4
851,11:00:00 AM,24.733
852,12:00:00 PM,25.9
853,1:00:00 PM,26.733
854,2:00:00 PM,26.933
855,3:00:00 PM,26.633
856,4:00:00 PM,25.833
857,5:00:00 PM,25.05
858,6:00:00 PM,24.367
859,7:00:00 PM,23.633
860,8:00:00 PM,22.867
861,9:00:00 PM,22.167
862,10:00:00 PM,21.6
863,11:00:00 PM,21.033
864,12:00:00 AM,20.4
865,1:00:00 AM,19.9
866,2:00:00 AM,19.367
867,3:00:00 AM,18.933
868,4:00:00 AM,18.567
869,5:00:00 AM,13.45
870,6:00:00 AM,14.733
871,7:00:00 AM,11.433
872,8:00:00 AM,7.733
873,9:00:00 AM,8.367
874,10:00:00 AM,9.15
875,11:00:00 AM,9.4
876,12:00:00 PM,10.067
877,1:00:00 PM,19.133
878,2:00:00 PM,27.233
879,3:00:00 PM,27.4
880,4:00:00 PM,26.3
881,5:00:00 PM,25.35
882,6:00:00 PM,24.567
883,7:00:00 PM,23.5
884,8:00:00 PM,22.8
885,9:00:00 PM,22.567
886,10:00:00 PM,22.267
887,11:00:00 PM,21.9
888,12:00:00 AM,21.533
889,1:00:00 AM,21.033
890,2:00:00 AM,20.6
891,3:00:00 AM,20.167
892,4:00:00 AM,19.767
893,5:00:00 AM,16
894,6:00:00 AM,15.2
895,7:00:00 AM,7.967
896,8:00:00 AM,14.633
897,9:00:00 AM,24.85
898,10:00:00 AM,25.167
899,11:00:00 AM,25.9
900,12:00:00 PM,26.3
901,1:00:00 PM,21.033
902,2:00:00 PM,9.4
903,3:00:00 PM,8.767
904,4:00:00 PM,12.267
905,5:00:00 PM,8.733
906,6:00:00 PM,14.1
907,7:00:00 PM,8.367
908,8:00:00 PM,17.233
909,9:00:00 PM,22.8
910,10:00:00 PM,24.45
911,11:00:00 PM,24.133
912,12:00:00 AM,23.3
913,1:00:00 AM,22.433
914,2:00:00 AM,21.8
915,3:00:00 AM,21.2
916,4:00:00 AM,20.033
917,5:00:00 AM,19.433
918,6:00:00 AM,19.567
919,7:00:00 AM,20.2
920,8:00:00 AM,21.4
921,9:00:00 AM,22.65
922,10:00:00 AM,23.9
923,11:00:00 AM,25.3
924,12:00:00 PM,26.333
925,1:00:00 PM,27.033
926,2:00:00 PM,26.867
927,3:00:00 PM,26.2
928,4:00:00 PM,25.233
929,5:00:00 PM,24.55
930,6:00:00 PM,23.867
931,7:00:00 PM,23.1
932,8:00:00 PM,22.567
